Organization,Core_Responsibility_or_Section,Departmental_Result,Contributing_Programs,Program_Result_or_Initiative,Indicator_or_Output,Groundfish Data Unit (GFDU),ShellfishDU,SalmonDU,Tom,DSU,Spatial
Fisheries and Oceans Canada,,,,,,,,,,,
Fisheries and Oceans Canada,Fisheries,Canadian fisheries are sustainably managed,ShellfishDU; SalmonDU; DSU,"Comprehensive review of licensing policies and processes to improve efficiency and support digital innovation, while maintaining strong environmental protections and economic benefits for local communities",initiate a comprehensive review of all national and regional licensing policies and processes and advance digital modernization through accelerated implementation of the Canadian Fisheries Information System and electronic logbooks to improve operational efficiencies.,,SDU implements digital processes with Pacific Licencing toward compliance with conditions of licence for harvest logs.,"The Fishery Operations Systems (FOS) database holds fishery openings with the catch and effort data for the Pacific region. FOS supports region-wide transparent data in support of both protection of stocks, as well as fishing opportunities.",,"DSU supports digital modernization by defining interoperable data standards and pipeline patterns that reduce manual re-processing, enabling more consistent reporting and analytics.",
Fisheries and Oceans Canada,Fisheries,Canadian fisheries are sustainably managed,SalmonDU; DSU,"Digital modernization, including IT upgrades, online licensing forms, and pilot projects using artificial intelligence to digitize fishing data and reduce administrative burden",Departmental results: • Canadian fisheries are sustainably managed • Scientific information on fisheries resources is available to inform management decisions,,,The Salmon Data Unit support development of the STREAM platform that contains regional information of salmon stock references points and statuses.,,"DSU supports digital modernization by defining interoperable data standards and pipeline patterns that reduce manual re-processing, enabling more consistent reporting and analytics.",
Fisheries and Oceans Canada,Fisheries,Canadian fisheries are sustainably managed,ShellfishDU; SalmonDU; Tom; DSU,Fisheries Management Modernization,"investing in digital modernization to enhance service delivery and data management to improve how we manage licensing and the collection of fishing data. In the Maritimes Region, IT systems are being upgraded to better track substitute vessel use and improve the accuracy of effort and landings data.",,"(Ditto) The SDU provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the SDU program works closely with service providers who support both industry and Indigenous Sale Fisheries.","The Salmon Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Salmon Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries.",FADS is improving interoperability between fishing data and monitoring data by updating,"DSU supports digital modernization by defining interoperable data standards and pipeline patterns that reduce manual re-processing, enabling more consistent reporting and analytics.",
Fisheries and Oceans Canada,Fisheries,Canadian fisheries are sustainably managed,Groundfish Data Unit (GFDU); ShellfishDU; SalmonDU; DSU,Fisheries Management Modernization,"the Department will continue investing in the accelerated delivery of the Canadian Fisheries Information System to modernize the licensing and quota, catch and effort, and reporting and analytics services used to manage commercial fisheries.",GFDU supports the existing digital infrastructure that is essential for managing Pacific groundfish fisheries by providing subject matter expertise related to groundfish fishery data.   ,"(Ditto) The SDU provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the SDU program works closely with service providers who support both industry and Indigenous Sale Fisheries.","The Salmon Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Salmon Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries.",,"DSU supports digital modernization by defining interoperable data standards and pipeline patterns that reduce manual re-processing, enabling more consistent reporting and analytics.",
Fisheries and Oceans Canada,Fisheries,Canadian fisheries are sustainably managed,ShellfishDU; SalmonDU; DSU,Fisheries Management Modernization,"By incorporating flexibility and addressing harvester concerns throughout the process, this approach aims to build trust and encourage broader adoption of electronic logbooks (ELOGs) among licence holders.",,"SDU communicates with current Pacfic Region service providers, as allowed, to understand challenges and opportunities for adoption of ELOGs.",The Salmon Data Unit supports the development of local elogs for salmon data with service providers. These systems can be leveraged as CFIS moves into the Pacific region.,,"DSU supports digital modernization by defining interoperable data standards and pipeline patterns that reduce manual re-processing, enabling more consistent reporting and analytics.",
Fisheries and Oceans Canada,Fisheries,Canadian fisheries are sustainably managed,ShellfishDU; SalmonDU,Fisheries Management Modernization,"DFO will continue to support sustainable and prosperous fisheries managed according to the precautionary approach, based on input from partners and grounded in science.DFO will continue to support sustainable, prosperous fisheries. For example.",,SDU provides technician time to participate in dive and intertidal surveys which collect data for data-poor invertebrate species.,"The STREAM platform contains a central repository for internal staff linking the statuses of salmon conservation units with the status according to the Fish Stock Provisions. More broadly Salmon Space, an external facing application also compiles all known statuses for stock management units according to the most recent assessment.",,,
Fisheries and Oceans Canada,Aquatic Ecosystems,Scientific information on fisheries resources is available to inform management decisions,Groundfish Data Unit (GFDU); ShellfishDU; SalmonDU,,"Results we plan to achieve: DFO will continue to conduct research to address emerging questions and deliver quality science to support effective decision-making concerning our fisheries, oceans and aquatic ecosystems.","GFDU stewards an Oracle database that houses Pacific Region groundfish research survey data and commercial biological data, for which GFDU manages and facilitates access, performs QA/QC  and loads new data, and continually improves existing data content and metadata.   GFDU stewards several SQL server databases that house historical (1954-2006) groundfish commercial fishery catch and effort data, as well as a SQL server database that provides best estimates of modern (2007-present) groundfish commercial fishery catch and effort based on the Fishery Operations System (FOS) database.  GFDU manages and facilitates access to historical and modern commercial catch databases, and continually improves existing data content and metadata. ","SDU stewards several SQL server databases that house Pacific Region Invertebrate Research data, manages and facilitates access to these data, performs QA/QC  and loads new data, and continually improves existing data content and metadata.",The Salmon Data Unit provides a single source of truth for the salmon conservation units underlying the stock statuses required for the fish stock provisions,,,
Fisheries and Oceans Canada,Aquatic Ecosystems,Scientific information on fisheries resources is available to inform management decisions,Groundfish Data Unit (GFDU); ShellfishDU; SalmonDU,,"prioritize science and research to study the impacts of climate change on fisheries, ecosystems, and coastal infrastructure. This research will provide both decision makers and Canadians with information that can help them to plan and adapt to a changing climate.",GFDU adapts existing data systems to incorporate new types of data to support ongoing research.  GFDU works toward improving metadata and standardizing stewarded data to increase interoperability.,SDU works toward improving metadata and standardizing stewarded data to increase interoperability.,"The Salmon Data Unit stewards two regional databases FOS and NuSEDS that contain salmon catch, effort, spawner and status data to inform management decisions.",,,
Fisheries and Oceans Canada,Aquatic Ecosystems,"Enhanced relationships with, involvement of, and outcomes for Indigenous people",ShellfishDU; SalmonDU,,"Results we plan to achieve: In 2026-27, the Department will continue to advance the objectives of the United Nations Declaration on the Rights of Indigenous Peoples Act in line with commitments identified in Canada’s United Nations Declaration Action Plan (2023-2028).",,SDU supports Indigenous capacity building by facilitating access to fisheries research and aggregated harvest log data and by developing agreements to share restricted Northern Abalone data.,The Salmon Data Unit works with Nations and their choosen service providers to help build capacity to upload salmon data for community-based fisheries into the Fisheries Operations System. We also are developing data guidelines with others input to share for emerging community-based fisheries.,,,
