Level 1: Core responsibility or department-wide result/consideration,Level 2: Department / program result or key risk,"Level 3: Plan, indicator, or actual result",Groundfish Data Unit (GFDU),Shellfish Data Unit,SalmonDU,Tom,Data Stewardship Unit,Spatial,one liner
Core responsibility: Fisheries,"Helping coastal, rural and Indigenous fishing communities grow their economies","Initiate a comprehensive review of licensing policies and processes, modernize fisheries management, and advance digital tools to ease regulatory pressures, promote innovation, and enhance productivity.",,Shellfish Data Unit implements digital processes with Pacific Licencing toward compliance with conditions of licence for harvest logs.,"The Fishery Operations Systems (FOS) database holds fishery openings with the catch and effort data for the Pacific region. FOS supports region-wide transparent data in support of both protection of stocks, as well as fishing opportunities.",,"Data Stewardship Unit builds and maintains the Fishery Operations Systems (FOS) Data Explorer to help the FOS Data Custodian share data internally for requests and streamline FOI responses, reducing manual SQL work and supporting evidence-based decisions affecting coastal and Indigenous fishing communities.","The Spatial Data Unit supports the Shellfish and Salmon Data Unit by leveraging archived survey data to develop interactive dashboards that enhance data accessibility, support evidence-based decision-making, and contribute to the modernization of fisheries management processes.",Driving Fisheries Modernization Through Digital Innovation and Data Transparency
Core responsibility: Fisheries,Canadian fisheries are sustainably managed; scientific information on fisheries resources is available to inform management decisions,"Invest in digital modernization, including IT upgrades, online licensing forms, and use of artificial intelligence to digitize fishing data and reduce administrative burden.",,,The Salmon Data Unit support development of the STREAM platform that contains regional information of salmon stock references points and statuses.,,"Data Stewardship Unit designs and maintains salmon data standards, pipelines and repositories (for example the Salmon Population Summary Repository) that modernize how fisheries data are captured, integrated and accessed to inform management decisions.","The Spatial Data Unit supports the Salmon Data Unit through spatial data management, analysis, and the development of mapping and visualization products that support the STREAM platform. ",Modernizing Salmon Management Through STREAM Platform and Integrated Data Solutions
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"Enhance service delivery and data management through modernized IT systems that track vessel use, improve effort and landings data, and digitize paper-based fishing records.",,"The Shellfish Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Shellfish Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries.","The Salmon Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Salmon Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries.",FADS is improving interoperability between fishing data and monitoring data by updating,,,Modernizing Fisheries Data Through CFIS Reviews and Enhanced Interoperability
Core responsibility: Fisheries,Fisheries management is modernized and efficient,Accelerate delivery of the Canadian Fisheries Information System and implement electronic logbooks (ELOGs) for lobster fisheries to enable real-time reporting and analytics.,GFDU supports the existing digital infrastructure that is essential for managing Pacific groundfish fisheries by providing subject matter expertise related to groundfish fishery data.   ,"The Shellfish Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Shellfish Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries.","The Salmon Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Salmon Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries.",,"Data Stewardship Unit develops common data models, QA/QC routines and guidance that CFIS and electronic logbook systems can reuse so salmon-related records are structured for analysis, reporting and interoperability.",,Advancing Fisheries Data Modernization Through CFIS Reviews and Integrated Standards
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"Co-design ELOG implementation with harvesters to incorporate flexibility, address concerns, and support broader adoption that improves reporting and decision-making.",,"Shellfish Data Unit communicates with current Pacfic Region service providers, as allowed, to understand challenges and opportunities for adoption of ELOGs.",The Salmon Data Unit supports the development of local elogs for salmon data with service providers. These systems can be leveraged as CFIS moves into the Pacific region.,,,,Advancing ELOG Adoption Through Collaboration and CFIS Integration
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"DFO will continue to support sustainable and prosperous fisheries managed according to the precautionary approach, based on input from partners and grounded in science. Continue implementing the Fish Stocks Provisions of the Fisheries Act and expand the list of stocks managed under precautionary, science-based frameworks.",GFDU staff frequently participate in groundfish research surveys which collect data on numerous species including both data-poor species and commercial species.  GFDU staff participate as subject matter experts in relevant CSAS processes. Shellfish Data Unit provides technician time to participate in dive and intertidal surveys which collect data for data-poor invertebrate species.,Shellfish Data Unit provides technician time to participate in dive and intertidal surveys which collect data for data-poor invertebrate species.,"The STREAM platform contains a central repository for internal staff linking the statuses of salmon conservation units with the status according to the Fish Stock Provisions. More broadly Salmon Space, an external facing application also compiles all known statuses for stock management units according to the most recent assessment.",,"Data Stewardship Unit provides essential data standardization and infrastructure required for the Fish Stocks Provisions by developing and maintaining unified salmon escapement data standards, integrating the full suite of data required for Fisheries Science Reports (CSAS-aligned), and delivering the Salmon Population Summary Repository (SPSR) web application to ensure consistent storage, accessibility, and stewardship of stock‐status information across programs.","The Spatial Data Unit supports the Salmon Data Unit through spatial data management, analysis, and the development of mapping and visualization products that support the STREAM platform and Salmon Space. This includes maintaining authoritative Conservation, Stock Management, and Designatable Unit boundary datasets and overseeing updates through a coordinated process with the Salmon Data Unit.",Building Resilient Fisheries Management Through Integrated Science and Data Stewardship
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's oceans and aquatic ecosystems is available to inform management decisions,"Conduct research to address emerging questions and deliver quality science to support effective decisions on fisheries, oceans and aquatic ecosystems.","GFDU stewards an Oracle database that houses Pacific Region groundfish research survey data and commercial biological data, for which GFDU manages and facilitates access, performs QA/QC  and loads new data, and continually improves existing data content and metadata.   GFDU stewards several SQL server databases that house historical (1954-2006) groundfish commercial fishery catch and effort data, as well as a SQL server database that provides best estimates of modern (2007-present) groundfish commercial fishery catch and effort based on the Fishery Operations System (FOS) database.  GFDU manages and facilitates access to historical and modern commercial catch databases, and continually improves existing data content and metadata. ","Shellfish Data Unit stewards several SQL server databases that house Pacific Region Invertebrate Research data, manages and facilitates access to these data, performs QA/QC  and loads new data, and continually improves existing data content and metadata.",The Salmon Data Unit provides a single source of truth for the salmon conservation units underlying the stock statuses required for the fish stock provisions,,"Data Stewardship Unit curates and integrates salmon ecosystem monitoring datasets, aligning them with common vocabularies so research and management can draw on comparable data across programs and regions.","The Spatial Data Unit supports the Aquatic Ecosystems core responsibility by managing, analyzing, and delivering geospatial data and mapping products that make scientific information on fisheries resources accessible. By providing accurate and up-to-date spatial datasets, the Unit enables researchers and managers to address emerging questions and make informed decisions to support sustainable fisheries, oceans, and aquatic ecosystems.",Strengthening Fisheries Management Through Integrated Data Stewardship and Spatial Intelligence
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's  oceans and aquatic ecosystems is available to inform management decisions,"Prioritize science and research on the impacts of climate change on fisheries, ecosystems, and coastal infrastructure to inform adaptation planning.",GFDU adapts existing data systems to incorporate new types of data to support ongoing research.  GFDU works toward improving metadata and standardizing stewarded data to increase interoperability.,Shellfish Data Unit works toward improving metadata and standardizing stewarded data to increase interoperability.,"The Salmon Data Unit stewards two regional databases FOS and NuSEDS that contain salmon catch, effort, spawner and status data to inform management decisions.",,"Data Stewardship Unit coordinates salmon data standards and repositories that help quantify climate and ecosystem impacts on salmon, making these datasets easier to combine with oceanographic and habitat information.","The Spatial Data Unit supports the Aquatic Ecosystems core responsibility by providing geospatial data, mapping, and analysis to inform research on climate change impacts to fisheries, ecosystems, and coastal infrastructure. In addition, the Unit collaborates with the FADS section to publish datasets to the Open Government Data portal, making critical spatial information readily accessible to both decision-makers and the public.",Driving Fisheries Resilience Through Data Interoperability and Climate-Informed Insights
Core responsibility: Aquatic Ecosystems,"Enhanced relationships with, involvement of, and outcomes for Indigenous Peoples","Advance implementation of the United Nations Declaration on the Rights of Indigenous Peoples Act Action Plan by building Indigenous capacity, supporting Indigenous-led governance and marine conservation, and aligning agreements with self-determination principles.","GFDU supports Indigenous capacity building by facilitating access to fisheries research and aggregated commercial fishery data.  In addition, GFDU works with the Groundfish Management Unit to support integrating catch monitoring data from Indigenous fisheries into existing data systems. ",Shellfish Data Unit supports Indigenous capacity building by facilitating access to fisheries research and aggregated harvest log data and by developing agreements to share restricted Northern Abalone data.,The Salmon Data Unit works with Nations and their choosen service providers to help build capacity to upload salmon data for community-based fisheries into the Fisheries Operations System. We also are developing data guidelines with others input to share for emerging community-based fisheries.,,"Data Stewardship Unit supports implementation of UNDRIP by integrating CARE Principles for Indigenous Data Governance into salmon data standards and workflows, promoting collective benefit, authority to control, responsibility, and ethics.","The Spatial Data Unit works closely with the Reconciliation and Indigenous Engagement team to support the FieldNotes interactive web mapping application at both regional and national scales. The Unit provides support throughout the entire process—from data collection and cleaning to analysis and publication—ensuring accurate and accessible spatial information. This work helps Indigenous communities participate in fisheries and aquatic resource management, supports collaborative governance, and advances conservation and shared management objectives under the UN Declaration on the Rights of Indigenous Peoples.","Advancing Reconciliation Through Indigenous Data Access, Governance, and Collaborative Tools"
Core responsibility: Aquatic Ecosystems,Scientific information on Canada'soceans and other aquatic ecosystems is available to inform management decisions,Support the United Nations Decade of Ocean Science by advancing solution-oriented ocean science projects with Canadian and international partners.,"GFDU and FADS support the UN Decade (and  other international frameworks and agreements such as Kunming-Montreal Global Biodiversity Framework (GBF), and BBNJ Agreement) by participating in the Ocean Biodiversity Information System (OBIS), which provides interoperable data to support decisions and monitor progress on an international scale.  GFDU publishes data to OBIS, while FADS promotes OBIS and provides in-kind support through furnishing the OBIS Canada node manager.",,,,"Data Stewardship Unit aligns salmon data standards and repositories with broader ocean observing and open-science initiatives such as the Canadian Integrated Ocean Observing System, and the Ocean Biodiversity Information System so salmon datasets can be used directly in UN Decade of Ocean Science solution-oriented projects.",,Positioning Canada as a Global Leader in Ocean Data Interoperability
