Level 1: Core responsibility or department-wide result/consideration,Level 2: Department / program result or key risk,"Level 3: Plan, indicator, or actual result",Program,Program Evidence
Core responsibility: Fisheries,"Helping coastal, rural and Indigenous fishing communities grow their economies","Initiate a comprehensive review of licensing policies and processes, modernize fisheries management, and advance digital tools to ease regulatory pressures, promote innovation, and enhance productivity.",Shellfish Data Unit,Shellfish Data Unit implements digital processes with Pacific Licencing toward compliance with conditions of licence for harvest logs.
Core responsibility: Fisheries,"Helping coastal, rural and Indigenous fishing communities grow their economies","Initiate a comprehensive review of licensing policies and processes, modernize fisheries management, and advance digital tools to ease regulatory pressures, promote innovation, and enhance productivity.",Salmon Data Unit,"The Fishery Operations Systems (FOS) database holds fishery openings with the catch and effort data for the Pacific region. FOS supports region-wide transparent data in support of both protection of stocks, as well as fishing opportunities."
Core responsibility: Fisheries,"Helping coastal, rural and Indigenous fishing communities grow their economies","Initiate a comprehensive review of licensing policies and processes, modernize fisheries management, and advance digital tools to ease regulatory pressures, promote innovation, and enhance productivity.",Data Stewardship Unit,"Data Stewardship Unit builds and maintains the Fishery Operations Systems (FOS) Data Explorer to help the FOS Data Custodian share data internally for requests and streamline FOI responses, reducing manual SQL work and supporting evidence-based decisions affecting coastal and Indigenous fishing communities."
Core responsibility: Fisheries,"Helping coastal, rural and Indigenous fishing communities grow their economies","Initiate a comprehensive review of licensing policies and processes, modernize fisheries management, and advance digital tools to ease regulatory pressures, promote innovation, and enhance productivity.",Spatial Data Unit,"The Spatial Data Unit supports the Shellfish and Salmon Data Unit by leveraging archived survey data to develop interactive dashboards that enhance data accessibility, support evidence-based decision-making, and contribute to the modernization of fisheries management processes."
Core responsibility: Fisheries,Canadian fisheries are sustainably managed; scientific information on fisheries resources is available to inform management decisions,"Invest in digital modernization, including IT upgrades, online licensing forms, and use of artificial intelligence to digitize fishing data and reduce administrative burden.",Salmon Data Unit,The Salmon Data Unit support development of the STREAM platform that contains regional information of salmon stock references points and statuses.
Core responsibility: Fisheries,Canadian fisheries are sustainably managed; scientific information on fisheries resources is available to inform management decisions,"Invest in digital modernization, including IT upgrades, online licensing forms, and use of artificial intelligence to digitize fishing data and reduce administrative burden.",Data Stewardship Unit,"Data Stewardship Unit designs and maintains salmon data standards, pipelines and repositories (for example the Salmon Population Summary Repository) that modernize how fisheries data are captured, integrated and accessed to inform management decisions."
Core responsibility: Fisheries,Canadian fisheries are sustainably managed; scientific information on fisheries resources is available to inform management decisions,"Invest in digital modernization, including IT upgrades, online licensing forms, and use of artificial intelligence to digitize fishing data and reduce administrative burden.",Spatial Data Unit,"The Spatial Data Unit supports the Salmon Data Unit through spatial data management, analysis, and the development of mapping and visualization products that support the STREAM platform."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"Enhance service delivery and data management through modernized IT systems that track vessel use, improve effort and landings data, and digitize paper-based fishing records.",Shellfish Data Unit,"The Shellfish Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Shellfish Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"Enhance service delivery and data management through modernized IT systems that track vessel use, improve effort and landings data, and digitize paper-based fishing records.",Salmon Data Unit,"The Salmon Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Salmon Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"Enhance service delivery and data management through modernized IT systems that track vessel use, improve effort and landings data, and digitize paper-based fishing records.",Knowledge Mobilization Unit,FADS is improving interoperability between fishing data and monitoring data by updating
Core responsibility: Fisheries,Fisheries management is modernized and efficient,Accelerate delivery of the Canadian Fisheries Information System and implement electronic logbooks (ELOGs) for lobster fisheries to enable real-time reporting and analytics.,Groundfish Data Unit,GFDU supports the existing digital infrastructure that is essential for managing Pacific groundfish fisheries by providing subject matter expertise related to groundfish fishery data.
Core responsibility: Fisheries,Fisheries management is modernized and efficient,Accelerate delivery of the Canadian Fisheries Information System and implement electronic logbooks (ELOGs) for lobster fisheries to enable real-time reporting and analytics.,Shellfish Data Unit,"The Shellfish Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Shellfish Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,Accelerate delivery of the Canadian Fisheries Information System and implement electronic logbooks (ELOGs) for lobster fisheries to enable real-time reporting and analytics.,Salmon Data Unit,"The Salmon Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Salmon Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,Accelerate delivery of the Canadian Fisheries Information System and implement electronic logbooks (ELOGs) for lobster fisheries to enable real-time reporting and analytics.,Data Stewardship Unit,"Data Stewardship Unit develops common data models, QA/QC routines and guidance that CFIS and electronic logbook systems can reuse so salmon-related records are structured for analysis, reporting and interoperability."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"Co-design ELOG implementation with harvesters to incorporate flexibility, address concerns, and support broader adoption that improves reporting and decision-making.",Shellfish Data Unit,"Shellfish Data Unit communicates with current Pacfic Region service providers, as allowed, to understand challenges and opportunities for adoption of ELOGs."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"Co-design ELOG implementation with harvesters to incorporate flexibility, address concerns, and support broader adoption that improves reporting and decision-making.",Salmon Data Unit,The Salmon Data Unit supports the development of local elogs for salmon data with service providers. These systems can be leveraged as CFIS moves into the Pacific region.
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"DFO will continue to support sustainable and prosperous fisheries managed according to the precautionary approach, based on input from partners and grounded in science. Continue implementing the Fish Stocks Provisions of the Fisheries Act and expand the list of stocks managed under precautionary, science-based frameworks.",Groundfish Data Unit,GFDU staff frequently participate in groundfish research surveys which collect data on numerous species including both data-poor species and commercial species.  GFDU staff participate as subject matter experts in relevant CSAS processes. Shellfish Data Unit provides technician time to participate in dive and intertidal surveys which collect data for data-poor invertebrate species.
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"DFO will continue to support sustainable and prosperous fisheries managed according to the precautionary approach, based on input from partners and grounded in science. Continue implementing the Fish Stocks Provisions of the Fisheries Act and expand the list of stocks managed under precautionary, science-based frameworks.",Shellfish Data Unit,Shellfish Data Unit provides technician time to participate in dive and intertidal surveys which collect data for data-poor invertebrate species.
