variable_name,label,data_type,definition,definition_uri,,method,unit,unit_uri,accepted_values
SMU_ID,SMU ID,string,Alphanumeric ID number for stock management unit (SMU) demographic unit. An official list of SMU ID's and corresponding names can be found in the SMU/CU crosswalk in NuSEDS,NuSEDS CU/SMU Crosswalk,,nan,nan,,nan
SPECIES_NAME_VERNACULAR,Species,string,Fish species vernacular name. Permissible values are salmoniod or trout species as listed in bioportal salmon ontology,http://rs.tdwg.org/dwc/terms/vernacularName,,nan,nan,,"http://purl.dataone.org/odo/SALMON_00000239, http://purl.dataone.org/odo/SALMON_00000240, http://purl.dataone.org/odo/SALMON_00000243, http://purl.dataone.org/odo/SALMON_00000840, http://purl.dataone.org/odo/SALMON_00000847, http://purl.dataone.org/odo/SALMON_00000900, http://purl.dataone.org/odo/SALMON_00000845, http://purl.dataone.org/odo/SALMON_00000241, http://purl.dataone.org/odo/SALMON_00000846, http://purl.dataone.org/odo/SALMON_00000242, http://purl.dataone.org/odo/SALMON_00000582, http://purl.dataone.org/odo/SALMON_00000569, http://purl.dataone.org/odo/SALMON_00000642, http://purl.dataone.org/odo/SALMON_00000570"
START_YEAR,Start Year,integer,"The start year the salmon unit (i.e., population, CU, SMU, PMFA) became active. Generally active unit's are labelled as current.",http://rs.tdwg.org/dwc/terms/eventDate,,nan,Year,,nan
END_YEAR,End Year,integer,"The year the unit (i.e., population, CU, SMU, PMFA) ends being active.",http://rs.tdwg.org/dwc/terms/eventDate,,nan,Year,,nan
METHOD_DATA_COLLECTION,Data Collection Methods,string,"Notes on data collection methds (data sources, type of count) that apply to the entire timeseries. 1-2 sentences from the authors",http://rs.tdwg.org/dwc/terms/samplingProtocol,,nan,nan,,nan
METHOD_DATA_ANALYSIS,Data Analysis Methods,string,"Notes on data analysis (infill methods, analytical framework) that apply to the entire timeseries. 1-2 sentences from the authors",nan,,nan,nan,,nan
YEAR_TYPE,Year Method,varchar(100),"The type of year definition that is used in the timeseries (ex: return year, catch year, brood year)",nan,,The aim of this column will be to eventually develop categorical variables for this data type after looking at common types from authors,nan,,nan
AGE_TYPE,Age Method,varchar(100),"The type of age definition that is used in the timeseries(ex: Gilbert-Rich, European)",nan,,nan,nan,,nan
INFORMATION_QUALITY,Information Quality,integer,"Quality of the dataset quantified from 1-5 based on the data quality framework in Ogden 2015, section 2.3","Odgen et al. 2015, Productivity (Recruits-per-Spawner) Data for Sockeye, Pink, and Chum Salmon from British Columbia",,nan,nan,,nan
LRP,Limit Reference Point,integer,"The limit reference point (LRP)represents the stock status, usually in terms of biomass (or abundance), below which serious to the stock may be incurred. In Canada and elsewhere, serious harm is considered to include recruitment overfishing or other impairment to productive capacity. When the stock falls below LRP, urgent management actions are required to rebuild the population and prevent further depletion. It represents the minimum level needed to sustain a fish population over time. Under the Fish Stocks provisions, the LRP is determined solely by DFO Science based on biological considerations.",nan,,"Limit reference point, preference to display one table for all reference points below",Number of fish,,nan
USR,Upper Stock Reference,integer,"The upper stock reference (USR) is to serves as a threshold to progressive reduction of the fishing mortality rate to avoid stock status reaching the LRP. The USR is also assigned the role of delineating the threshold between what are termed the Cautious and Healthy Zones. When stock levels are above USR, they are considered healthy. However, if they drop below the USR but remain above the LRP, the stock enters the cautious zone, signaling a need for more conservative management measures to prevent further decline.",https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/40965715.pdf,,Upper stock reference point if known,Number of fish,,nan
TR,Target Reference,integer,"A management target reference point that represents a desired stock or exploitation level, often based on social, economic, and ecological considerations, in addition to biological ones.",nan,,nan,Number of fish,,nan
RR,Removal Reference,decimal,"Removal Reference (RR) represents the maximum proportion of the population that can be harvested without jeopardizing the stock's ability to replenish itself. It can be expressed in terms of Fishing mortality, Harvest rate or Fishing effort.",nan,,nan,Ratio,,nan
INDICATOR_CWT,Coded Wire Tagging,string,Refer to specific metrics or data derived from coded wire tags (CWTs) (like survival or exploitation rates). NA if no CWT was used,nan,,nan,nan,,nan
REFERENCE,Reference,varchar(100),Plain text reference for the report that the data was published or archived in.,nan,,nan,nan,,nan
YEAR,Year,integer,The year measurements were captured (please see YEAR_TYPE),http://rs.tdwg.org/dwc/terms/eventDate,,nan,Year,,nan
MAINSTEM,Mainstem (Age 1),integer,Number of fish caught in mainstem at age 1.,http://rs.tdwg.org/dwc/terms/individualCount,,nan,Number of fish,,nan
MAINSTEM_MORTALITY_RATE,Mainstem Mortality Rate,real,"The proportion of fish that die while migrating through the mainstem of a river system, which is typically the primary, large river channel. It reduces the number of fish reaching their spawning ground.",nan,,nan,Ratio,,nan
OCEAN_MORTALITY_RATE,Ocean Mortality Rate,real,"The proportion of fish that die while at sea, due to natural causes such as predation, disease, starvation, or unfavorable environmental conditions. It affects overall survival before returning to rivers",nan,,nan,Ratio,,nan
TERMINAL,Terminal (Age 1),integer,Number of fish caught in terminal at age 1.,http://rs.tdwg.org/dwc/terms/individualCount,,nan,Number of fish,,nan
TERMINAL_MORTALITY_RATE,Terminal Mortality Rate,real,"The proportion of fish that die in the terminal area (near or at their spawning grounds) before they can spawn. Terminal areas are typically in rivers or estuaries. This rate affects the spawning population and recruitment success, directly impacting the stock's ability to replenish.",nan,,nan,Ratio,,nan
SPAWNERS,Spawners (Age 1),integer,Number of age 1 spawners.,http://rs.tdwg.org/dwc/terms/individualCount,,nan,Number of fish,,nan
TOTAL_SPAWNERS,Total Spawners,integer,Total number of spawners for the year.,http://rs.tdwg.org/dwc/terms/individualCount,,nan,Number of fish,,nan
TOTAL_CATCH,Total Catch,integer,"This includes harvest numbers from commercial, recreational, and First Nations fisheries.",http://rs.tdwg.org/dwc/terms/individualCount,,nan,Number of fish,,nan
TOTAL_MORTALITY_RATE,Total Mortality,real,"Thee proportion of a population that dies during a specific time period, regardless of the cause.",nan,,nan,Ratio,,nan
TOTAL_EXPLOITATION_RATE,Total Exploitation,real,"The proportion of a fish population that is harvested or removed through fishing activities in a given period, typically over a season or year. It is expressed as a percentage of the total population or run size of the species being managed.",nan,,nan,Ratio,,nan
FULL_CU_IN,CU ID,string,Alphanumeric ID number for conservation unit (CU) demographic unit. An official list of CU ID's and corresponding names can be found in the SMU/CU crosswalk in NuSEDS,NuSEDS CU/SMU Crosswalk,,nan,nan,,nan
LOWER_CI_LOWER,Lower CI Lower Limit,integer,The lower bound of the confidence interval (CI) for the lower limit of a stock-related metric.,nan,,nan,Number of fish,,nan
UPPER_CI_LOWER,Uper CI Lower Limit,integer,The lower bound of the confidence interval (CI) for the upper limit of a stock-related metric.,nan,,nan,Number of fish,,nan
LOWER_CI_UPPER,Lower CI Upper Limit,integer,The upper bound of the confidence interval (CI) for the lower limit of a stock-related metric.,nan,,nan,Number of fish,,nan
UPPER_CI_UPPER,Upper CI Upper Limit,integer,The upper bound of the confidence interval (CI) for the upper limit of a stock-related metric.,nan,,nan,Number of fish,,nan
RANGE_LOWER,Lower Range CI,real,The lower range of a Confidence Interval (CI),nan,,nan,Number of fish,,nan
RANGE_UPPER,Upper Ranger CI,real,The upper range of a Confidence Interval (CI),nan,,nan,Number of fish,,nan
PFMA_ID,PFMA ID,integer,Numeric ID corresponding to a Pacific Fishery Management Area (PFMA). PFMA's are a division of Canadian fisheries waters as enumerated and described in Schedule 2 and includes the portion of any stream that flows into that division and that is seaward of the mean high water mark near the mouth of that stream. The areas in the Canadian fisheries waters of the Pacific Ocean described in Schedule 2 are hereby prescribed as management areas.,nan,,nan,nan,,nan
UPPER_MANAGEMENT_LEVEL,Upper Management Level,integer,Upper reference point for the PFMA,nan,,nan,Number of fish,,nan
LOWER_MANAGEMENT_LEVEL,Lower Management Level,integer,Mgmt Level - can represent either escapement targets or inflection points on HCR or removal reference for the PFMA,nan,,nan,Number of fish,,nan
POP_ID,Population ID,string,Numeric code identifying the population,nan,,nan,nan,,nan
ENHANCEMENT_OBJECTIVE,Enhancement Objective,varchar(100),"The specific goal or purpose of a fish enhancement program, often aimed at increasing the productivity, survival, or abundance of a fish population to support conservation, fisheries, or ecosystem needs.",Withler_SEP_2018.pdf,,nan,nan,,nan
ENHANCEMENT_TARGET,Enhancement Target,real,"A quantitative or qualitative benchmark set within an enhancement program that defines the desired outcome, such as the number of fish released, survival rates, or spawner returns.",Withler_SEP_2018.pdf,,nan,Number of fish,,nan
MARINE_SURVIVAL_INDEX,Marine Survival Index,real,"A measure or metric used to evaluate the survival rate of fish during their time in the ocean, often expressed as a percentage of juveniles that survive to return as adults.",nan,,nan,Ratio,,nan
