Term,Definition,Definition Source,Definition Accepted?,Context,Acceptable Values,Description,Abrreviation or Acronym,Unit,Definition uri,Broader Term,Narrower Term,Related Terms,Comments
80% sMSY,80% of the spawner abundance at sMSY,,,,,,,,,,,"sMSY, Upper Stock Reference Point",
BMSY,Biomass at MSY,,,,,,,,,,,,
Brood Year," The year in which an individual fish was spawned (Michelsens and Martens 2009). 
The parental year for a group of returning salmon, i.e. the calendar year when the majority of parents of these fish spawned (Pacific Salmon Glossary). ","readme_for_FSRR_StikineSockeye_08May2025_v2.pdf , https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/gloss-eng.html",,,,,,,,,,,
Cautious Stock Status Zone,"The stock is considered to be in the “cautious zone” if the biomass, or its index, is higher than 40% of BMSY but lower than 80% of BMSY. In other words:  40% BMSY < Biomass < 80% BMSY.",,,,,,,,,,,,
Conservation Unit," CU is a group of wild salmon sufficiently isolated from other groups that, if lost, is very unlikely to recolonize naturally within an acceptable timeframe (e.g., a human lifetime or a specified number of salmon generations)",Wild Salmon Policy https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/policy-politique-eng.html,,,,"From intro to stock assessment course: ""a group of fish sufficiently isolated from other groups that, if it goes locally extinct, is very unlikely to recolonize naturally"". The delineation of CUs in all species will be based on biological information including genetic variation,phenotypic traits (e.g.,run timing,life history traits, ocean distribution,etc.),and aboriginal traditional knowledge (ATK) if available. Delineations of CUs are expected to change over time as more information and experience is gained.",,,,Stock Management Unit,Population,,
Critical Stock Status Zone,"The stock is considered to be in “the critical zone” if the mature biomass, or its index, is less than or equal to 40% of BMSY. In other words:  Biomass ≤ 40% BMSY.",https://www.dfo-mpo.gc.ca/reports-rapports/regs/sff-cpd/precaution-eng.htm,,,,,,,,,,,
Deme,"	A group of salmon at a persistent spawning site or within a stream comprised of individuals that are likely to breed with each other (i.e., well mixed). A single population may include more than one deme.",Wild Salmon Policy https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/policy-politique-eng.html,,,,The basic level of genetic organization in Pacific salmon. Could be a group of salmon that consistenly and persistently spawn at a specific spawning location. ,,,,Population,,,
Designatable Unit,,,,,,The demographic unit that the Committee on the Status of Endangered Wildlife in Canada (COSEWIC) uses to determine status,,,,,,,
En-route Mortality,"Estimate of the number of salmon migrating up the river that die en 
route to the spawning grounds",,,,,,,,,,,,
Escapement,"
The number of salmon returning to the spawning grounds. In the absence of other sources of mortality, the total run-size to a system is the total catch plus the total escapement. ",https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/gloss-eng.html ,,,,,,,,,,,
Exploitation Rate,"Expressed as a percentage, the proportion of the total return of adult salmon in a given year that die as a result of fishing activity.",https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/gloss-eng.html,,,,,,,,,,,
Fisheries Reference Point,,,,,,,,,,,,,
Fisheries Reference Point-Lower,,,,,,,,,,,,,
Fisheries Reference Point-Upper,,,,,,,,,,,,,
Fisheries Science Advisory Report,,,,,,"provide timely, nationally consistent and streamlined fisheries science advice
that meets the requirements under the Fish Stock Provisions",,,,,,,
Fisheries Science Review Report,,,,,,,,,,,,,
Fishing Mortality,"Measure of deaths in a stock due to all fishing activities, including: targeted fishing, bycatch and discards, other incidental mortality in other fisheries",https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,,,,,,,,,,,
FMSY,Fishing mortality at Maximum Sustainable Yield,,,,,,,,,,,,
Freshwater Age,B18B20,,,,,,,,,,,,
"Measure of deaths in a stock due to all fishing activities, including: targeted fishing, bycatch and discards, B20other incidental mortality in other fisheries",,,,,,"Method to describe the age of a salmon, Na, where N is the total age of the 
fish and a is the fresh-water age, also known as the age of ocean entrance. ",,,,,,,
Harvest,,,,,,,,,,,,,
Harvest Control Rules,"Operational component of a harvest strategy that conveys the pre-agreed 
rules that determine how much fishing can take place",,,,,,,,,,,,
Harvest Rate,"the proportion of the recruited or vulnerable biomass that is caught during a certain period, usually a fishing year (also referred to as exploitation rate)",,,,,,,,,,,exploitation rate,
Healthy Stock Status Zone,"The stock is considered to be “healthy” if the biomass, or its index, is higher than 80% of BMSY. In other words:  Biomass ≥ 80% BMSY.",https://www.dfo-mpo.gc.ca/reports-rapports/regs/sff-cpd/precaution-eng.htm,,,,,,,,,,,
Indicators,measurements that provide information on the state of a stock attribute of interest. A series of indicators over time creates an index.,https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,,,,,,,,,,index,
Integrated Fisheries Management Plan,,,,,,"A tool of Fisheries and Oceans Canada's Fisheries Management branch that guides the conservation and sustainable use of marine resources, supports the management of sustainable fisheries, combining science and indigenous knowledge.",,,,,,,
